grey
fiber tracts
VS
grv
retina
CH
BS
CB
cm
cbf
scwm
lfbs
eps
mfbs
VL
IVF
V3
AQ
V4
c
grv of CTX
grv of CBX
IPF
CTX
CNU
IB
MB
HB
CBX
CBN
tn
von
In
IIn
IIIn
IVn
VIn
Vn
VIIn
VIIIn
IXn
Xn
XIn
XIIn
vrt
drt
sst
cbc
cbp
arb
cc
cst
lfbst
epsc
tsp
rust
ctb
rst
vsp
mfbc
mfsbshy
RC
SEZ
chpl
chfl
V4r
eg
hf
rf
ri
pce
pcf
pri
psf
ppf
sec
plf
nf
sif
icf
apf
ipf
pms
pfs
CTXpl
CTXsp
STR
PAL
TH
HY
MBsen
MBmot
MBsta
P
MY
CBXmo
CBXpu
CBXgr
VERM
HEM
FN
IP
DN
VeCB
onl
lotg
aco
aot
bsc
csc
och
opt
ttp
mlf
pc
IVd
moV
sV
iVIIn
gVIIn
cvb
vVIIIn
cVIIIn
ts
cett
sttl
sttv
scrt
sop
srp
svp
stp
shp
step
scp
mcp
icp
tct
fa
ee
ccg
fp
ccr
ccb
ccs
int
cpd
cte
crt
cpt
cbt
py
pyd
cstc
cstu
em
im
mtc
tp
or
ar
pap
nst
ntt
ptf
snp
stf
tspd
dtd
tspc
vtd
rrt
rstl
rstm
amc
apd
act
cing
fxs
lab
st
mfb
vlt
poc
sup
pmx
smd
php
pvbh
mfbsma
mfbst
mfbse
mfbsm
Isocortex
OLF
HPF
6b
CLA
EP
LA
BLA
BMA
PA
STRd
STRv
LSX
sAMY
PALd
PALv
PALm
PALc
DORsm
DORpm
PVZ
PVR
MEZ
LZ
ME
SCs
IC
NB
SAG
PBG
MEV
SCO
SNr
VTA
PN
RR
MRN
SCm
PAG
PRT
InCo
CUN
RN
III
MA3
EW
IV
Pa4
VTN
AT
LT
DT
MT
SNl
SNc
PPN
RAmb
P-sen
P-mot
P-sat
MY-sen
MY-mot
MY-sat
LING
CENT
CUL
DEC
FOTU
PYR
UVU
NOD
SIM
AN
PRM
COPY
PFL
FL
lot
lotd
aolt
mtV
sptV
tb
ias
das
ll
cic
bic
dl
dcm
vc
fpr
dc
ml
hht
dscp
uf
sctv
sctd
cct
jrb
bct
ec
alv
df
fi
fxprg
fxpo
hc
per
ab
stc
supa
supd
supv
phpd
phpl
phpm
phpv
pm
mtt
mtg
mp
pvbt
sm
fr
hbc
PIS
dlf
dtt
FRP
MO
SS
GU
VISC
AUD
VIS
ACA
PL
ILA
ORB
AI
RSP
PTLp
TEa
PERI
ECT
MOB
AOB
AON
TT
DP
PIR
NLOT
COA
PAA
TR
HIP
RHP
EPd
EPv
BLAa
BLAp
BLAv
BMAa
BMAp
CP
ACB
FS
OT
LSS
LS
SF
SH
AAA
BA
CEA
IA
MEA
GPe
GPi
SI
MA
MSC
TRS
BST
BAC
VENT
SPF
SPA
PP
GENd
LAT
ATN
MED
MTN
ILM
RT
GENv
EPI
SO
ASO
PVH
PVa
PVi
ARH
ADP
AHA
AVP
AVPV
DMH
MEPO
MPO
OV
PD
PS
PSCH
PVp
PVpo
SBPV
SCH
SFO
VMPO
VLPO
AHN
MBO
MPN
PMd
PMv
PVHd
VMH
PH
LHA
LPO
PST
PSTN
PeF
RCH
STN
TU
ZI
SCop
SCsg
SCzo
ICc
ICd
ICe
MRNm
MRNmg
MRNp
SCdg
SCdw
SCiw
SCig
PRC
INC
ND
Su3
APN
MPT
NOT
NPC
OP
PPT
RPF
IF
IPN
RL
CLI
DR
NLL
PSV
PB
SOC
B
DTN
LTN
PDTg
PCG
PG
PRNc
PRNv
SG
SSN
SUT
TRN
V
P5
Acs5
PC5
I5
CS
LC
LDT
NI
PRNr
RPO
SLC
SLD
AP
CN
DCN
ECU
NTB
NTS
SPVC
SPVI
SPVO
Pa5
z
VI
ACVI
VII
ACVII
EV
AMB
DMX
ECO
GRN
ICB
IO
IRN
ISN
LIN
LRN
MARN
MDRN
PARN
PAS
PGRN
PHY
PMR
PPY
VNC
x
XII
y
INV
RM
RPA
RO
LINGmo
LINGpu
LINGgr
CENT2
CENT3
CUL4
CUL5
"CUL4, 5"
DECmo
DECpu
DECgr
FOTUmo
FOTUpu
FOTUgr
PYRmo
PYRpu
PYRgr
UVUmo
UVUpu
UVUgr
NODmo
NODpu
NODgr
SIMmo
SIMpu
SIMgr
ANcr1
ANcr2
PRMmo
PRMpu
PRMgr
COPYmo
COPYpu
COPYgr
PFLmo
PFLpu
PFLgr
FLmo
FLpu
FLgr
cuf
grf
iaf
sct
oct
rct
db
mct
fx
dhc
vhc
FRP1
FRP2/3
FRP5
FRP6a
FRP6b
MO1
MO2/3
MO5
MO6a
MO6b
MOp
MOs
SS1
SS2/3
SS4
SS5
SS6a
SS6b
SSp
